Dense	class_name	mean_recallAtFDR50	GlobalAveragePooling2D	PReLU	mean_balanced_accuracy	Convolution2D	BatchNormalization	Dropout	nb_filter	MaxPooling2D	nb_row	Activation	UpSampling2D	activation	GlobalMaxPooling2D	strides	AveragePooling2D	Model	mean_auROC	mean_auPRC	m	nb_col	pool_size	p	Sequential	l2	Flatten	input_dim	l1	output_dim
3	['Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'MaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	0.00E+00	None	2	0.50	3	3	2	[300, 200, 200]	1	[4, 1, 1]	3	None	['linear', 'relu', 'linear', 'relu', 'linear', 'relu', 'linear', 'linear', 'linear']	None	[(1, 3), (1, 4), (1, 4)]	2	record_3_model_D0lMt_modelYaml.yaml	0.50	0.36	[-1, 7, 7, 7, 7]	[19, 11, 7]	[(1, 3), (1, 4), (1, 4)]	[0.3, 0.3]	None	[0.0, 0.0, 0.0, 0.0]	1	[None, None, None]	[9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]	[1000, 1000, 1]	
5	['Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	2.70E-05	None	4	0.50	None	None	4	None	None	None	None	None	['linear', 'linear', 'linear', 'linear', 'linear']	None	None	None	record_20_model_zGDVe_modelYaml.yaml	0.46	0.03	[7]	None	None	[0.5, 0.3, 0.3, 0.3]	None	[9.999999747378752e-06, 9.999999747378752e-06, 9.999999747378752e-06, 9.999999747378752e-06, 0.0010000000474974513]	None	[15360, 2000, 1500, 1000, 500]	[0.0, 0.0, 0.0, 0.0, 0.0]	[2000, 1500, 1000, 500, 61]	
2	['Convolution2D', 'PReLU', 'MaxPooling2D', 'Convolution2D', 'PReLU', 'MaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense']	0.00E+00	None	3	0.51	2	None	1	[1000, 200]	2	[4, 1]	None	None	['linear', 'linear', 'linear', 'linear']	None	[(1, 4), (1, 5)]	None	record_7_model_wsb4F_modelYaml.yaml	0.51	0.18	[7, 7, 7]	[30, 10]	[(1, 4), (1, 5)]	[0.3]	None	[0.0, 0.0, 0.0, 0.0]	1	[80000, 500]	[9.999999747378752e-06, 9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05]	[500, 61]	
3	['Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'MaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	0.00E+00	None	2	0.50	3	3	2	[300, 200, 200]	1	[4, 1, 1]	3	None	['linear', 'relu', 'linear', 'relu', 'linear', 'relu', 'linear', 'linear', 'linear']	None	[(1, 3), (1, 4), (1, 4)]	2	record_6_model_fkiE2_modelYaml.yaml	0.50	0.52	[-1, 7, 7, 7, 7]	[19, 11, 7]	[(1, 3), (1, 4), (1, 4)]	[0.3, 0.3]	None	[0.0, 0.0, 0.0, 0.0]	1	[None, None, None]	[9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]	[1000, 1000, 61]	
3	['Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'MaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	0.00E+00	None	2	0.50	3	3	2	[300, 200, 200]	1	[4, 1, 1]	3	None	['linear', 'relu', 'linear', 'relu', 'linear', 'relu', 'linear', 'linear', 'linear']	None	[(1, 3), (1, 4), (1, 4)]	2	record_5_model_tH4ej_modelYaml.yaml	0.50	0.52	[-1, 7, 7, 7, 7]	[19, 11, 7]	[(1, 3), (1, 4), (1, 4)]	[0.3, 0.3]	None	[0.0, 0.0, 0.0, 0.0]	1	[None, None, None]	[9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]	[1000, 1000, 1]	
2	['Convolution2D', 'PReLU', 'MaxPooling2D', 'Convolution2D', 'PReLU', 'MaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense']	1.17E-05	None	3	0.62	2	None	1	[500, 500]	2	[4, 1]	None	None	['linear', 'linear', 'linear', 'linear']	None	[(1, 4), (1, 5)]	None	record_3_model_ccP14_modelYaml.yaml	0.70	0.08	[7, 7, 7]	[30, 10]	[(1, 4), (1, 5)]	[0.3]	None	[0.0, 0.0, 0.0, 0.0]	1	[48000, 500]	[9.999999747378752e-06, 9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05]	[500, 61]	
2	['Convolution2D', 'PReLU', 'MaxPooling2D', 'Convolution2D', 'PReLU', 'GlobalMaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense']	1.43E-04	None	3	0.62	2	None	1	[1000, 200]	1	[4, 1]	None	None	['linear', 'linear', 'linear', 'linear']	1	[(1, 4)]	None	record_7_model_BXULw_modelYaml.yaml	0.70	0.08	[7, 7, 7]	[30, 10]	[(1, 4)]	[0.3]	None	[0.0, 0.0, 0.0, 0.0]	1	[200, 500]	[9.999999747378752e-06, 9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05]	[500, 61]	
1	['Convolution2D', 'PReLU', 'AveragePooling2D', 'Convolution2D', 'PReLU', 'GlobalAveragePooling2D', 'Flatten', 'Dense']	1.18E-04	1	2	0.59	2	None	None	[1000, 700]	None	[4, 1]	None	None	['linear', 'linear', 'linear']	None	[(1, 4)]	1	record_9_model_MKfi5_modelYaml.yaml	0.66	0.07	None	[30, 10]	[(1, 4)]	None	None	[0.0]	1	[700]	[9.999999747378752e-05]	[61]	
3	['Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'AveragePooling2D', 'Convolution2D', 'BatchNormalization', 'Activation', 'MaxPooling2D', 'Flatten', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	NaN	None	2	0.48	3	3	2	[300, 200, 200]	1	[4, 1, 1]	3	None	['linear', 'relu', 'linear', 'relu', 'linear', 'relu', 'linear', 'linear', 'linear']	None	[(1, 3), (1, 4), (1, 4)]	2	record_1_model_y3oEQ_modelYaml.yaml	0.50	NaN	[-1, 7, 7, 7, 7]	[19, 11, 7]	[(1, 3), (1, 4), (1, 4)]	[0.3, 0.3]	None	[0.0, 0.0, 0.0, 0.0]	1	[None, None, None]	[9.999999747378752e-06, 9.999999747378752e-05, 9.999999747378752e-05, 9.999999747378752e-05]	[1000, 1000, 1]	
5	['Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense', 'PReLU', 'Dropout', 'Dense']	2.48E-04	None	4	0.61	None	None	4	None	None	None	None	None	['linear', 'linear', 'linear', 'linear', 'linear']	None	None	None	record_17_model_pfhKN_modelYaml.yaml	0.66	0.07	[7]	None	None	[0.5, 0.3, 0.3, 0.3]	None	[9.999999747378752e-06, 9.999999747378752e-06, 9.999999747378752e-06, 9.999999747378752e-06, 0.0010000000474974513]	None	[1920, 2000, 1500, 1000, 500]	[0.0, 0.0, 0.0, 0.0, 0.0]	[2000, 1500, 1000, 500, 61]	
2	['Dense', 'PReLU', 'Dropout', 'Dense']	8.39E-05	None	1	0.48	None	None	1	None	None	None	None	None	['linear', 'linear']	None	None	None	record_19_model_VvD85_modelYaml.yaml	0.49	0.03	[7]	None	None	[0.5]	None	[0.0, 0.0]	None	[15360, 2000]	[9.999999747378752e-05, 9.999999747378752e-05]	[2000, 61]	
